"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"93","경기도 성남시 중원구 도촌동","707","0707","0000","휴먼시아섬마을8단지(임대)","월세","51.9600","202604","21","5,475","29","7","2008","도촌남로 134","202605~202804","갱신","-","5,243","27","아파트"
"94","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","월세","51.7100","202604","21","10,500","140","9","2015","여수울로 51","202606~202806","갱신","사용","10,000","135","아파트"
"95","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","전세","51.9300","202604","20","54,500","0","6","2015","여수울로 51","202606~202806","신규","-","","","아파트"
"96","경기도 성남시 중원구 도촌동","701","0701","0000","휴먼시아섬마을2단지(임대)","월세","36.9700","202604","20","2,152","18","2","2008","도촌남로 24","202605~202804","갱신","-","2,254","19","아파트"
"97","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","전세","49.9800","202604","20","18,700","0","13","1994","금상로 134","202605~202805","갱신","-","17,850","0","아파트"
"98","경기도 성남시 중원구 금광동","2450-1","2450","0001","황송마을","월세","49.9800","202604","20","5,000","100","9","1993","황송로 6","202606~202806","신규","-","","","아파트"
"99","경기도 성남시 중원구 금광동","3950","3950","0000","삼익금광1차","전세","44.0100","202604","20","29,000","0","2","1991","자혜로16번길 9","202610~202810","신규","-","","","아파트"
"100","경기도 성남시 중원구 금광동","2450-1","2450","0001","황송마을","월세","49.9800","202604","20","3,000","100","9","1993","황송로 6","202605~202805","신규","-","","","아파트"
"101","경기도 성남시 중원구 도촌동","703","0703","0000","휴먼시아섬마을4단지(임대)","월세","46.9700","202604","20","5,086","22","11","2008","도촌남로 69","202605~202804","갱신","-","4,904","27","아파트"
"102","경기도 성남시 중원구 도촌동","707","0707","0000","휴먼시아섬마을8단지(임대)","월세","46.9700","202604","20","5,358","40","11","2008","도촌남로 134","202605~202804","갱신","-","5,102","38","아파트"
"103","경기도 성남시 중원구 하대원동","143-1","0143","0001","태연스카이빌","월세","73.9524","202604","20","5,000","150","16","2002","둔촌대로 274","202605~202805","신규","-","","","아파트"
"104","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","월세","51.5300","202604","20","30,000","75","12","2015","여수울로 51","202607~202807","신규","-","","","아파트"
"105","경기도 성남시 중원구 은행동","1932-6","1932","0006","현대","전세","84.6300","202604","20","33,000","0","1","1995","자혜로17번길 16","202605~202805","신규","-","","","아파트"
"106","경기도 성남시 중원구 은행동","1932-6","1932","0006","현대","월세","84.6300","202604","20","40,000","40","12","1995","자혜로17번길 16","202606~202806","신규","-","","","아파트"
